PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
CHAMARAJANAGAR(SC),29,1038,36,3845,95,7,27,18,28,56,45
MORENA,65,920,16,589,85,8,49,28,53,72,58
BHIND (SC),63,874,23,890,85,10,48,28,48,72,63
GWALIOR,58,898,23,1630,87,8,45,26,49,65,53
TIKAMGARH(SC),62,914,14,1741,81,9,46,19,42,66,46
GUNA,73,905,14,1181,86,10,44,30,49,63,45
KHAJURAHO,71,946,19,2231,78,7,43,22,41,66,49
MANDSOUR,60,978,18,1263,87,12,38,22,37,70,51
REWA,68,995,23,1377,81,9,40,18,36,54,40
SATNA,83,993,25,3568,80,8,41,26,39,70,48
DAMOH,67,925,18,1706,76,8,42,18,36,69,44
RAJGARH,63,926,17,1248,91,9,43,31,48,69,49
SIDHI,69,989,18,975,66,6,42,26,42,67,55
SAGAR,67,927,17,2055,75,9,41,19,35,68,41
SHAHDOL (ST),66,992,20,1763,77,8,39,27,42,68,59
UJJAIN (SC),59,971,19,1643,87,9,40,20,36,72,50
DEWAS (SC),59,932,21,1217,92,7,41,27,44,69,49
BHOPAL,57,913,32,1224,90,7,40,24,39,71,46
VIDISHA,64,927,19,1367,84,10,40,24,42,67,47
RATLAM (ST),64,972,13,1140,80,10,45,23,42,74,56
JABALPUR,48,955,37,1252,88,9,36,30,42,59,49
HOSHANGABAD,63,910,25,1236,86,13,40,25,40,68,52
DHAR (ST),45,941,30,1649,86,8,40,24,39,73,51
INDORE,37,895,41,1804,94,5,39,17,30,71,46
MANDLA (ST),65,997,20,904,71,10,38,28,43,66,60
KHANDWA,61,957,22,1089,84,8,46,22,45,73,57
CHHINDWARA,69,950,28,1251,86,10,33,30,41,65,52
BETUL (ST),63,966,25,1331,77,12,37,29,42,63,52
KHARGONE(ST),61,1009,16,874,50,11,52,28,55,82,65
BALAGHAT,63,1049,25,1131,84,6,33,32,42,65,61
NANDURBAR (ST),22,969,27,8454,64,8,43,35,51,63,56
AMRAVATI (SC),22,979,49,6546,93,8,38,24,33,50,42
RAMTEK (SC),22,1004,53,1911,97,5,33,25,33,44,46
WARDHA,22,963,45,4671,95,9,34,25,34,49,42
BHANDARA-GONDIYA,22,1028,50,1769,96,6,37,22,36,50,53
DHULE,22,960,34,1811,78,9,41,31,45,59,54
RAVER,22,933,32,2148,83,12,40,26,38,51,46
GADCHIROLI-CHIMUR,22,988,40,1360,90,4,33,35,40,58,51
JALGAON,22,914,32,2558,84,12,36,32,36,60,51
BULDHANA,22,953,32,1739,82,12,43,21,41,43,41
AKOLA,22,962,41,1926,88,9,41,27,41,56,37
NAGPUR,22,1004,53,1911,97,5,33,25,33,44,46
DINDORI (ST),22,1000,39,1162,85,8,43,32,42,52,54
YAVATMAL-WASHIM,22,959,37,2015,84,8,44,30,46,64,41
JALNA,22,936,33,13502,92,8,41,21,39,43,44
AURANGABAD,22,923,41,2863,93,9,38,20,36,38,45
CHANDRAPUR,22,965,39,1870,88,6,39,30,44,63,47
PALGHAR (ST),22,922,47,2221,91,6,38,29,40,54,48
NASHIK,22,1000,39,1162,85,8,43,32,42,52,54
SHIRDI (SC),22,905,44,4763,94,10,33,21,31,47,46
HINGOLI,22,990,29,6643,84,9,42,24,40,58,45
BHIWANDI,22,922,47,2221,91,6,38,29,40,54,48
PARBHANI,22,978,23,13586,88,10,45,21,42,50,45
AHMEDNAGAR,22,905,44,4763,94,10,33,21,31,47,46
SHIRUR,22,924,52,2231,93,7,22,23,25,53,50
THANE,22,922,47,2221,91,6,38,29,40,54,48
BEED,22,933,31,1599,93,7,37,29,36,57,36
MUMBAI NORTH,22,869,43,3043,93,5,21,20,28,70,50
KALYAN,22,922,47,2221,91,6,38,29,40,54,48
MUMBAI NORTH-EAST,22,869,43,3043,93,5,21,20,28,70,50
MUMBAI NORTH-WEST,22,869,43,3043,93,5,21,20,28,70,50
NANDED,22,1000,27,1982,84,11,40,20,34,53,47
MUMBAI NORTH-CENTRAL,22,869,43,3043,93,5,21,20,28,70,50
MAVAL,22,924,51,2716,94,6,26,26,32,53,51
MUMBAI SOUTH -CENTRA,22,887,48,5629,95,5,23,23,25,67,49
MUMBAI SOUTH,22,906,52,8215,97,6,25,25,22,65,49
LATUR (SC),22,983,30,1734,87,13,37,21,34,53,42
RAIGAD,22,1029,41,4008,96,6,29,25,33,51,50
BARAMATI,22,924,52,2231,93,7,22,23,25,53,50
PUNE,22,924,52,2231,93,7,22,23,25,53,50
OSMANABAD,22,963,35,1659,88,11,34,22,37,47,39
MADHA,22,998,37,1660,91,11,24,23,31,53,46
SATARA,22,1034,38,1867,96,15,23,23,27,55,49
SOLAPUR (SC),22,963,35,1453,86,8,25,24,34,51,44
RATNAGIRI ?SINDHUDUR,22,1067,39,5051,98,6,27,20,27,45,45
SANGLI,22,1005,47,3480,95,9,23,17,24,49,51
HATKANANGLE,22,991,45,2849,95,10,25,21,28,47,49
KOLHAPUR,22,978,44,2219,95,12,26,25,31,45,46
OUTER MANIPUR,11,1025,38,8664,51,4,33,7,14,23,23
INNER MANIPUR,11,1046,44,10149,74,6,27,6,14,23,27
SHILLONG (ST),46,992,25,2040,48,8,50,13,31,40,51
TURA (ST),46,1024,38,3979,59,19,26,23,25,67,61
MIZORAM (ST),32,977,31,3530,70,5,30,8,14,25,29
MAYURBHANJ (ST),47,1032,23,3752,85,16,43,17,43,34,42
SUNDARGARH (ST),47,1040,34,3247,88,5,37,31,44,75,71
SAMBALPUR,51,1011,26,3849,88,8,35,23,39,45,53
