PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
KURNOOL,39,1021,24,1310,75,2,44,18,37,54,54,1107.930269,2439.439602,1200.694161,2198.000285,0.765994055093608,0.537597216150828
NELLORE,39,1016,28,1616,91,11,28,15,30,56,57,1512.32921,2103.6743315,1597.837847,2112.797027,0.670951746698152,0.522749483900974
ANANTAPUR,39,1000,30,3509,89,4,40,15,39,53,52,1552.446868,1924.139944,1345.697641,1927.511661,0.871378211731573,0.658304122203803
KADAPA,39,0,0,0,0,0,0,0,0,0,0,1677.541102,2310.584161,1673.817486,1982.6942,0.698197295508412,0.596955423959353
HINDUPUR,39,1000,30,3509,89,4,40,15,39,53,52,1552.446868,1924.139944,1345.697641,1927.511661,0.871378211731573,0.658304122203803
TIRUPATI (SC),39,1079,39,1686,94,2,31,18,32,46,48,1512.428735,2261.5611295,1635.9214535,2368.4281095,0.669933337068732,0.498489071478816
RAJAMPET,39,1079,39,1686,94,2,31,18,32,46,48,1573.1473745,2311.0363775,1651.99234,2232.1218835,0.683990899704279,0.561155033403491
CHITTOOR (SC),39,1079,39,1686,94,2,31,18,32,46,48,1468.753647,2311.488594,1630.167194,2481.549567,0.669784503900146,0.525354642847628
ARUNACHAL EAST,30,937,29,5191,53,5,27,19,19,51,37,1489.28228405,1964.5959162,1410.5973460125,1907.0611288,0.48710737429052,0.43918326545785
ARUNACHAL WEST,30,982,29,7144,48,7,31,16,16,43,32,2113.50433544286,2345.83701542857,1874.87585887143,2403.15805385714,0.575837889150944,0.507431424230504
VALMIKI NAGAR,48,936,17,3156,64,10,43,21,39,62,58,1017.24667,1085.096978,991.0219372,1056.441705,0,0
PASCHIM CHAMPARAN,48,1000,15,2847,54,13,45,19,39,64,56,1056.125881,1272.1664575,974.54293515,1167.256043,0,0
SITAMARHI,60,1103,12,2277,37,13,57,15,47,69,59,778.5141881,1319.086929,780.3115799,1177.561594,0.462092135959763,0.368344155844156
SHEOHAR,50,1103,13,2337,45,14,52,16,43,66,56,871.260236433333,1336.28676933333,829.2959533,1228.33737933333,0.498002932047941,0.41442504643008
PURVI CHAMPARAN,48,1064,13,2538,45,16,47,18,40,65,54,1095.005092,1459.235937,958.0639331,1278.070381,0,0
JHANJHARPUR,48,1147,18,2597,50,9,51,19,45,62,61,1207.636707,1334.815644,1085.657072,1220.412165,0.40048155916936,0.457152974504249
MADHUBANI,46,1146,18,2563,48,12,50,17,43,66,63,1111.783134,1272.3520215,1007.9302182,1225.6283445,0.385565861823486,0.406444490454757
KISHANGANJ,54,1088,13,1712,51,11,49,21,46,65,68,872.8791888,1268.7739005,934.8896129,1323.996232,0.477931776933947,0.368039877285184
ARARIA,52,1110,12,2318,51,14,48,22,45,61,65,922.217684,1592.078063,1050.84458,1540.277763,0.373593384107347,0.376316816230979
